SID,StudentName,CourseToDrop,CourseToAdd,MajorField,CreditsCompleted,CreditsToGraduate,GPA,SpecialConditions,PlacementSupportPercentage,Age,OnCampusJob,TA/RA,GranReceived,CourseSatisfactionIndex,HealthGrade,County,HostelFacility,DayScholar,CurrentSemester,Sex,Ethnicity,CompletedSemesters,MaritalStatus,NoOfDependents,CohabitationStatus,FatherQualification,MotherQualification,SpouseQualification,Attendance,SATScore,DaysForTermStart,BehaviorGrade,MotivationLevel,PersonalityType,NumberOfSiblings,SiblingPosition,VisaStatus,NumberOfMeritAwards,ScholarshipType,ActivtiesParticipation,LevelOfExtracurricularActivities,MealPlans,CourseType,StudyTime,CourseRelevanceIndex,CourseAccreditionType,CourseAccreditionStatus,ProgramLevel,TermType,WorkHours,TotalLiability,TotalIncome,TotalDebt,Dropout
ST024,,,,,7,13,,0,0,,0,,,,,,0,,4,F,,2,0,3,1,3,3,3,0..9,,,,,,4,3,,,,,,,,3,,,,,,2,,3,0.4,0
ST025,,,,,3,17,,0,1,,0,,,,,,0,,1,M,,5,0,2,0,4,4,4,0.3,,,,,,5,4,,,,,,,,3,,,,,,2,,3,0.4,0
ST026,,,,,7,13,,0,0,,0,,,,,,0,,2,F,,4,0,5,0,0,0,0,0.4,,,,,,4,3,,,,,,,,4,,,,,,1,,3,0.4,0
ST027,,,,,8,12,,0,0,,0,,,,,,0,,3,M,,3,0,6,1,1,1,1,0.5,,,,,,3,2,,,,,,,,3,,,,,,2,,3,0.4,0
ST028,,,,,7,13,,0,0,,0,,,,,,0,,4,F,,2,0,1,0,2,2,2,0.8,,,,,,2,1,,,,,,,,4,,,,,,1,,3,0.4,0
ST029,,,,,7,13,,0,0,,0,,,,,,0,,1,M,,5,0,2,1,3,3,3,0.7,,,,,,5,4,,,,,,,,3,,,,,,2,,3,0.4,0
ST030,,,,,6,14,,0,0,,0,,,,,,0,,2,M,,4,0,4,0,4,4,4,0.6,,,,,,1,0,,,,,,,,3,,,,,,2,,3,0.4,0
ST031,,,,,5,15,,1,1,,0,,,,,,0,,1,F,,5,1,1,0,0,0,0,0.3,,,,,,1,0,,,,,,,,2,,,,,,3,,2,0.8,1
ST032,,,,,8,12,,0,0,,0,,,,,,0,,4,M,,2,0,2,1,1,1,1,0.3,,,,,,2,1,,,,,,,,3,,,,,,2,,4,0.4,0
ST033,,,,,8,12,,0,0,,0,,,,,,0,,1,M,,5,0,3,0,2,2,2,0.5,,,,,,3,2,,,,,,,,4,,,,,,1,,4,0.4,0
ST034,,,,,4,16,,1,1,,1,,,,,,0,,2,F,,4,1,3,1,3,3,3,0.2,,,,,,4,3,,,,,,,,4,,,,,,1,,2,0.8,0
ST035,,,,,3,17,,1,1,,0,,,,,,0,,2,M,,4,1,2,0,4,4,4,0,,,,,,5,4,,,,,,,,2,,,,,,3,,2,0.8,1
ST036,,,,,2,18,,1,1,,0,,,,,,0,,3,F,,3,1,5,0,0,0,0,0.6,,,,,,4,3,,,,,,,,1,,,,,,4,,2,0.8,1
ST037,,,,,4,16,,0,1,,0,,,,,,0,,1,M,,5,0,6,1,1,1,1,0..9,,,,,,3,2,,,,,,,,4,,,,,,1,,4,0.4,0
ST038,,,,,7,13,,0,0,,0,,,,,,0,,2,F,,4,0,1,0,2,2,2,0.3,,,,,,2,1,,,,,,,,2,,,,,,3,,4,0.4,0
ST039,,,,,8,12,,0,0,,0,,,,,,0,,3,F,,3,0,2,1,3,3,3,0.4,,,,,,5,4,,,,,,,,3,,,,,,2,,3,0.4,0
ST040,,,,,7,13,,1,0,,0,,,,,,0,,1,F,,5,1,4,0,4,4,4,0.5,,,,,,1,0,,,,,,,,2,,,,,,3,,2,0.8,1
ST041,,,,,6,14,,1,0,,0,,,,,,0,,2,M,,4,1,1,0,0,0,0,0.8,,,,,,1,0,,,,,,,,2,,,,,,3,,2,0.8,1
ST042,,,,,7,13,,0,0,,0,,,,,,0,,2,F,,4,0,2,1,1,1,1,0.7,,,,,,2,1,,,,,,,,3,,,,,,2,,3,0.4,0
ST043,,,,,8,12,,0,0,,0,,,,,,0,,3,M,,3,0,3,0,2,2,2,0.6,,,,,,3,2,,,,,,,,4,,,,,,1,,3,0.4,0
ST044,,,,,8,12,,0,0,,0,,,,,,0,,4,F,,2,1,3,1,3,3,3,0.3,,,,,,4,3,,,,,,,,3,,,,,,2,,3,0.4,0
ST045,,,,,9,11,,0,0,,0,,,,,,0,,1,M,,5,0,2,0,4,4,4,0.3,,,,,,5,4,,,,,,,,5,,,,,,0,,3,0.4,0
ST046,,,,,8,12,,0,0,,0,,,,,,0,,2,F,,4,0,5,0,0,0,0,0.5,,,,,,4,3,,,,,,,,2,,,,,,3,,3,0.4,0
ST047,,,,,2,18,,1,1,,0,,,,,,0,,1,M,,5,0,6,1,1,1,1,0.2,,,,,,3,2,,,,,,,,3,,,,,,2,,2,0.8,1
ST048,,,,,1,19,,1,0,,0,,,,,,0,,3,M,,3,0,1,0,2,2,2,0,,,,,,2,1,,,,,,,,1,,,,,,4,,2,0.8,1
ST049,,,,,4,16,,0,1,,1,,,,,,0,,1,M,,5,0,2,1,3,3,3,0.6,,,,,,5,4,,,,,,,,5,,,,,,0,,3,0.4,0
ST050,,,,,5,15,,1,1,,0,,,,,,0,,2,M,,4,1,4,0,4,4,4,0..9,,,,,,1,0,,,,,,,,0,,,,,,5,,3,0.8,1
